n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
65536,0,0,arithmetic,4,256,1842363,1846056,7196.73046875,7211.15625
65536,0,0,arithmetic,5,256,1869663,1873347,7303.37109375,7317.76171875
65536,0,0,arithmetic,6,256,1865623,1869279,7287.58984375,7301.87109375
65536,0,0,arithmetic,7,256,1849108,1852876,7223.078125,7237.796875
65536,0,0,reset,1,256,4492807,4496562,17550.02734375,17564.6953125
65536,0,0,reset,2,256,4616279,4620396,18032.33984375,18048.421875
65536,0,0,reset,3,256,4600056,4604417,17968.96875,17986.00390625
65536,0,0,reset,4,256,4557388,4561274,17802.296875,17817.4765625
65536,0,0,reset,5,256,4567096,4571130,17840.21875,17855.9765625
65536,0,0,reset,6,256,4706717,4711737,18385.61328125,18405.22265625
65536,0,0,reset,7,256,4548501,4552518,17767.58203125,17783.2734375
65536,1,8,arithmetic,1,256,2135274,2138903,8340.9140625,8355.08984375
65536,1,8,arithmetic,2,256,2175919,2179902,8499.68359375,8515.2421875
65536,1,8,arithmetic,3,256,2170516,2174390,8478.578125,8493.7109375
65536,1,8,arithmetic,4,256,2132503,2136163,8330.08984375,8344.38671875
65536,1,8,arithmetic,5,256,2126227,2129898,8305.57421875,8319.9140625
65536,1,8,arithmetic,6,256,2147175,2150871,8387.40234375,8401.83984375
65536,1,8,arithmetic,7,256,2499369,2504971,9763.16015625,9785.04296875
65536,1,8,reset,1,256,5462305,5467840,21337.12890625,21358.75
65536,1,8,reset,2,256,5416318,5420589,21157.4921875,21174.17578125
65536,1,8,reset,3,256,5221236,5225469,20395.453125,20411.98828125
65536,1,8,reset,4,256,5093355,5097750,19895.91796875,19913.0859375
65536,1,8,reset,5,256,5382265,5386660,21024.47265625,21041.640625
65536,1,8,reset,6,256,5288809,5293054,20659.41015625,20675.9921875
65536,1,8,reset,7,256,5171814,5229079,20202.3984375,20426.08984375
65536,2,16,arithmetic,1,256,2147380,2151115,8388.203125,8402.79296875
65536,2,16,arithmetic,2,256,2249527,2253310,8787.21484375,8801.9921875
65536,2,16,arithmetic,3,256,2122477,2126211,8290.92578125,8305.51171875
65536,2,16,arithmetic,4,256,2165942,2170377,8460.7109375,8478.03515625
65536,2,16,arithmetic,5,256,2142498,2146960,8369.1328125,8386.5625
65536,2,16,arithmetic,6,256,2104941,2109195,8222.42578125,8239.04296875
65536,2,16,arithmetic,7,256,2100044,2103649,8203.296875,8217.37890625
65536,2,16,reset,1,256,5305975,5310165,20726.46484375,20742.83203125
65536,2,16,reset,2,256,5131706,5136063,20045.7265625,20062.74609375
65536,2,16,reset,3,256,5277417,5282180,20614.91015625,20633.515625
65536,2,16,reset,4,256,5329711,5333861,20819.18359375,20835.39453125
65536,2,16,reset,5,256,5289464,5301655,20661.96875,20709.58984375
65536,2,16,reset,6,256,5164140,5168871,20172.421875,20190.90234375
65536,2,16,reset,7,256,5253449,5257908,20521.28515625,20538.703125
65536,3,24,arithmetic,1,256,2104198,2107912,8219.5234375,8234.03125
65536,3,24,arithmetic,2,256,2119065,2123507,8277.59765625,8294.94921875
65536,3,24,arithmetic,3,256,2100403,2103986,8204.69921875,8218.6953125
65536,3,24,arithmetic,4,256,2112362,2116155,8251.4140625,8266.23046875
65536,3,24,arithmetic,5,256,2112465,2115938,8251.81640625,8265.3828125
65536,3,24,arithmetic,6,256,2101925,2105509,8210.64453125,8224.64453125
65536,3,24,arithmetic,7,256,2117620,2121371,8271.953125,8286.60546875
65536,3,24,reset,1,256,5090666,5095210,19885.4140625,19903.1640625
65536,3,24,reset,2,256,5150273,5154908,20118.25390625,20136.359375
65536,3,24,reset,3,256,5401131,5409250,21098.16796875,21129.8828125
65536,3,24,reset,4,256,5182561,5186894,20244.37890625,20261.3046875
65536,3,24,reset,5,256,5432662,5437473,21221.3359375,21240.12890625
65536,3,24,reset,6,256,5402833,5407299,21104.81640625,21122.26171875
65536,3,24,reset,7,256,5076118,5080321,19828.5859375,19845.00390625
