n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,reset,onemkl,6,131072,2122187,2128009,16.191001892089844,16.235420227050781
64,0,reset,baseline,7,131072,1323567,1329079,10.098014831542969,10.140068054199219
64,0,reset,aligned,7,131072,1139397,1145062,8.6929092407226562,8.7361297607421875
64,0,reset,unrolled,7,131072,1131172,1137083,8.630157470703125,8.6752548217773438
64,0,reset,aligned-unrolled,7,131072,1108471,1114197,8.4569625854492188,8.5006484985351562
64,0,reset,openblas,7,131072,1554330,1560068,11.858596801757812,11.902374267578125
64,0,reset,onemkl,7,131072,2153789,2159799,16.432106018066406,16.477958679199219
64,8,negate,baseline,1,131072,848687,853919,6.4749679565429688,6.5148849487304688
64,8,negate,aligned,1,131072,847038,852563,6.4623870849609375,6.5045394897460938
64,8,negate,unrolled,1,131072,845380,850619,6.449737548828125,6.4897079467773438
64,8,negate,aligned-unrolled,1,131072,954659,959999,7.2834701538085938,7.3242111206054688
64,8,negate,openblas,1,131072,1023619,1029033,7.8095932006835938,7.8508987426757812
64,8,negate,onemkl,1,131072,1795192,1800637,13.69622802734375,13.737770080566406
64,8,negate,baseline,2,131072,831844,836995,6.346466064453125,6.3857650756835938
64,8,negate,aligned,2,131072,830315,835493,6.3348007202148438,6.3743057250976562
64,8,negate,unrolled,2,131072,833891,839117,6.3620834350585938,6.4019546508789062
64,8,negate,aligned-unrolled,2,131072,929161,934289,7.0889358520507812,7.1280593872070312
64,8,negate,openblas,2,131072,1000206,1005337,7.6309661865234375,7.6701126098632812
64,8,negate,onemkl,2,131072,1750845,1756163,13.357887268066406,13.398460388183594
64,8,negate,baseline,3,131072,836889,842159,6.3849563598632812,6.4251632690429688
64,8,negate,aligned,3,131072,835227,840401,6.3722763061523438,6.4117507934570312
64,8,negate,unrolled,3,131072,827523,832665,6.3134994506835938,6.3527297973632812
64,8,negate,aligned-unrolled,3,131072,935510,940700,7.1373748779296875,7.176971435546875
64,8,negate,openblas,3,131072,1000399,1005575,7.6324386596679688,7.6719284057617188
64,8,negate,onemkl,3,131072,1754881,1760199,13.388679504394531,13.429252624511719
64,8,negate,baseline,4,131072,838116,843410,6.394317626953125,6.4347076416015625
64,8,negate,aligned,4,131072,838303,843723,6.3957443237304688,6.4370956420898438
64,8,negate,unrolled,4,131072,839877,845152,6.4077529907226562,6.447998046875
64,8,negate,aligned-unrolled,4,131072,1014608,1019935,7.7408447265625,7.7814865112304688
64,8,negate,openblas,4,131072,1010733,1015964,7.7112808227539062,7.751190185546875
64,8,negate,onemkl,4,131072,1778139,1783553,13.566123962402344,13.607429504394531
64,8,negate,baseline,5,131072,828230,833408,6.3188934326171875,6.3583984375
64,8,negate,aligned,5,131072,827756,832936,6.315277099609375,6.35479736328125
64,8,negate,unrolled,5,131072,826392,831549,6.30487060546875,6.3442153930664062
64,8,negate,aligned-unrolled,5,131072,926003,931122,7.0648422241210938,7.1038970947265625
64,8,negate,openblas,5,131072,996385,1001782,7.6018142700195312,7.6429901123046875
64,8,negate,onemkl,5,131072,1762839,1768328,13.449394226074219,13.49127197265625
64,8,negate,baseline,6,131072,828380,833699,6.320037841796875,6.3606185913085938
64,8,negate,aligned,6,131072,827382,832446,6.3124237060546875,6.3510589599609375
64,8,negate,unrolled,6,131072,826121,831349,6.3028030395507812,6.3426895141601562
64,8,negate,aligned-unrolled,6,131072,925767,930970,7.0630416870117188,7.1027374267578125
64,8,negate,openblas,6,131072,996538,1001780,7.6029815673828125,7.642974853515625
64,8,negate,onemkl,6,131072,1755755,1761248,13.395347595214844,13.437255859375
64,8,negate,baseline,7,131072,811472,816559,6.1910400390625,6.2298507690429688
64,8,negate,aligned,7,131072,818316,823300,6.243255615234375,6.281280517578125
