n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
96,0,reset,aligned-unrolled,5,87360,976429,984409,11.177071886446887,11.268418040293041
96,0,reset,openblas,5,87360,1245477,1251300,14.256833791208791,14.323489010989011
96,0,reset,onemkl,5,87360,1586945,1593022,18.165579212454212,18.235141941391941
96,8,negate,baseline,1,87360,1279744,1284817,14.649084249084249,14.707154304029304
96,8,negate,aligned,1,87360,770144,775169,8.8157509157509164,8.8732715201465204
96,8,negate,unrolled,1,87360,1265078,1270048,14.481204212454212,14.538095238095238
96,8,negate,aligned-unrolled,1,87360,709785,714719,8.1248282967032974,8.181307234432234
96,8,negate,openblas,1,87360,1408187,1413158,16.119356684981685,16.176259157509158
96,8,negate,onemkl,1,87360,1177085,1182152,13.473958333333334,13.531959706959707
96,8,negate,baseline,2,87360,1256180,1261431,14.379349816849818,14.439457417582418
96,8,negate,aligned,2,87360,728407,733461,8.3379922161172164,8.3958447802197806
96,8,negate,unrolled,2,87360,1236952,1241771,14.159249084249085,14.214411630036629
96,8,negate,aligned-unrolled,2,87360,704954,709803,8.069528388278389,8.1250343406593402
96,8,negate,openblas,2,87360,1383432,1388360,15.83598901098901,15.892399267399268
96,8,negate,onemkl,2,87360,1157289,1162608,13.247355769230769,13.308241758241758
96,8,negate,baseline,3,87360,1252491,1257329,14.337122252747253,14.392502289377289
96,8,negate,aligned,3,87360,738272,743313,8.4509157509157511,8.5086195054945062
96,8,negate,unrolled,3,87360,1218565,1223352,13.948775183150182,14.003571428571428
96,8,negate,aligned-unrolled,3,87360,698519,703264,7.9958676739926737,8.05018315018315
96,8,negate,openblas,3,87360,1374978,1380120,15.739217032967034,15.798076923076923
96,8,negate,onemkl,3,87360,1142804,1147851,13.081547619047619,13.139320054945054
96,8,negate,baseline,4,87360,1251072,1256033,14.320879120879122,14.377667124542125
96,8,negate,aligned,4,87360,764851,769832,8.7551625457875453,8.8121794871794865
96,8,negate,unrolled,4,87360,1226216,1231070,14.036355311355312,14.091918498168498
96,8,negate,aligned-unrolled,4,87360,700640,705372,8.0201465201465201,8.0743131868131872
96,8,negate,openblas,4,87360,1371393,1376274,15.698179945054944,15.754052197802197
96,8,negate,onemkl,4,87360,1157791,1163016,13.253102106227105,13.312912087912087
96,8,negate,baseline,5,87360,1242469,1247468,14.222401556776557,14.279624542124543
96,8,negate,aligned,5,87360,749623,754699,8.5808493589743584,8.638953754578754
96,8,negate,unrolled,5,87360,1219526,1224577,13.95977564102564,14.017593864468864
96,8,negate,aligned-unrolled,5,87360,703832,711359,8.056684981684981,8.1428456959706956
96,8,negate,openblas,5,87360,1366840,1371774,15.646062271062272,15.702541208791208
96,8,negate,onemkl,5,87360,1168146,1173176,13.371634615384615,13.429212454212454
96,8,powers-two,baseline,1,87360,1281557,1286607,14.669837454212454,14.727644230769231
96,8,powers-two,aligned,1,87360,727248,732162,8.3247252747252745,8.3809752747252748
96,8,powers-two,unrolled,1,87360,1243186,1248352,14.230608974358974,14.28974358974359
96,8,powers-two,aligned-unrolled,1,87360,730403,735318,8.3608402014652015,8.4171016483516485
96,8,powers-two,openblas,1,87360,1407065,1412511,16.106513278388277,16.168853021978023
96,8,powers-two,onemkl,1,87360,1122979,1128033,12.854613095238095,12.912465659340659
96,8,powers-two,baseline,2,87360,1279523,1284483,14.646554487179488,14.703331043956045
96,8,powers-two,aligned,2,87360,724095,729041,8.2886332417582409,8.3452495421245416
96,8,powers-two,unrolled,2,87360,1237153,1242161,14.161549908424908,14.218875915750916
96,8,powers-two,aligned-unrolled,2,87360,735251,740374,8.4163347069597076,8.4749771062271062
96,8,powers-two,openblas,2,87360,1407753,1412816,16.114388736263738,16.172344322344323
96,8,powers-two,onemkl,2,87360,1127538,1132612,12.906799450549451,12.964880952380952
96,8,powers-two,baseline,3,87360,1280973,1285960,14.663152472527473,14.720238095238095
96,8,powers-two,aligned,3,87360,721948,726905,8.2640567765567763,8.3207989926739927
96,8,powers-two,unrolled,3,87360,1225949,1231339,14.033298992673993,14.09499771062271
96,8,powers-two,aligned-unrolled,3,87360,739959,744958,8.4702266483516482,8.5274496336996339
96,8,powers-two,openblas,3,87360,1391998,1397246,15.934043040293041,15.994116300366301
96,8,powers-two,onemkl,3,87360,1110564,1115711,12.7125,12.771417124542124
96,8,powers-two,baseline,4,87360,1263959,1268943,14.468395146520146,14.525446428571428
96,8,powers-two,aligned,4,87360,734811,739794,8.4112980769230763,8.4683379120879128
96,8,powers-two,unrolled,4,87360,1224820,1229652,14.020375457875458,14.075686813186813
96,8,powers-two,aligned-unrolled,4,87360,735393,740419,8.417960164835165,8.4754922161172157
96,8,powers-two,openblas,4,87360,1397219,1402189,15.993807234432234,16.050698260073261
96,8,powers-two,onemkl,4,87360,1112336,1117317,12.732783882783883,12.789800824175824
96,8,powers-two,baseline,5,87360,1283876,1289084,14.696382783882784,14.755998168498168
96,8,powers-two,aligned,5,87360,730923,735890,8.3667925824175828,8.4236492673992682
96,8,powers-two,unrolled,5,87360,1243465,1248440,14.233802655677655,14.290750915750916
96,8,powers-two,aligned-unrolled,5,87360,730401,735447,8.360817307692308,8.4185782967032967
96,8,powers-two,openblas,5,87360,1408122,1413358,16.118612637362638,16.178548534798534
96,8,powers-two,onemkl,5,87360,1131504,1136455,12.952197802197801,13.008871336996338
