n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,2,8,arithmetic,3,262144,5794912,5800877,22.1058349609375,22.128589630126953
64,2,8,arithmetic,4,262144,5735071,5738326,21.877559661865234,21.889976501464844
64,2,8,arithmetic,5,262144,5827034,5834928,22.228370666503906,22.25848388671875
64,2,8,arithmetic,6,262144,5749525,5753694,21.932697296142578,21.94860076904297
64,2,8,arithmetic,7,262144,5808041,5811287,22.15591812133789,22.16830062866211
64,2,8,reset,1,262144,7054606,7058919,26.91118621826172,26.92763900756836
64,2,8,reset,2,262144,7172097,7175423,27.359378814697266,27.372066497802734
64,2,8,reset,3,262144,7069249,7073395,26.967044830322266,26.982860565185547
64,2,8,reset,4,262144,7016745,7029730,26.76675796508789,26.81629180908203
64,2,8,reset,5,262144,7168967,7172682,27.34743881225586,27.361610412597656
64,2,8,reset,6,262144,7075080,7079265,26.989288330078125,27.005252838134766
64,2,8,reset,7,262144,7067888,7071357,26.96185302734375,26.975086212158203
64,3,16,arithmetic,1,262144,5700736,5704840,21.74658203125,21.762237548828125
64,3,16,arithmetic,2,262144,5755708,5758890,21.956283569335938,21.968421936035156
64,3,16,arithmetic,3,262144,5833262,5836491,22.25212860107422,22.264446258544922
64,3,16,arithmetic,4,262144,5715379,5719153,21.802440643310547,21.816837310791016
64,3,16,arithmetic,5,262144,5702311,5705769,21.75259017944336,21.76578140258789
64,3,16,arithmetic,6,262144,5839008,5842201,22.2740478515625,22.28622817993164
64,3,16,arithmetic,7,262144,5798462,5803154,22.11937713623047,22.13727569580078
64,3,16,reset,1,262144,7118570,7122140,27.155189514160156,27.168807983398438
64,3,16,reset,2,262144,7002748,7007102,26.713363647460938,26.72997283935547
64,3,16,reset,3,262144,7014621,7017945,26.758655548095703,26.77133560180664
64,3,16,reset,4,262144,7015199,7058141,26.760860443115234,26.924671173095703
64,3,16,reset,5,262144,7136102,7139614,27.222068786621094,27.23546600341797
64,3,16,reset,6,262144,6993138,6997842,26.67670440673828,26.69464874267578
64,3,16,reset,7,262144,7037305,7041199,26.84518814086914,26.860042572021484
256,0,0,arithmetic,1,65536,1719796,1723504,26.24200439453125,26.298583984375
256,0,0,arithmetic,2,65536,1706161,1709890,26.033950805664063,26.090850830078125
256,0,0,arithmetic,3,65536,1722078,1726531,26.276824951171875,26.344772338867188
256,0,0,arithmetic,4,65536,1711706,1715375,26.118560791015625,26.174545288085938
256,0,0,arithmetic,5,65536,1706352,1710460,26.036865234375,26.09954833984375
256,0,0,arithmetic,6,65536,1708309,1711989,26.066726684570313,26.122879028320313
256,0,0,arithmetic,7,65536,1706114,1709766,26.033233642578125,26.088958740234375
256,0,0,reset,1,65536,2376512,2381219,36.2626953125,36.33451843261719
256,0,0,reset,2,65536,2387175,2390669,36.42539978027344,36.47871398925781
256,0,0,reset,3,65536,2376633,2380039,36.26454162597656,36.31651306152344
256,0,0,reset,4,65536,2384291,2387749,36.38139343261719,36.43415832519531
256,0,0,reset,5,65536,2491554,2494957,38.018096923828125,38.07002258300781
256,0,0,reset,6,65536,2382987,2386447,36.36149597167969,36.41429138183594
256,0,0,reset,7,65536,2382360,2395401,36.3519287109375,36.55091857910156
256,1,8,arithmetic,1,65536,1780539,1784333,27.168869018554688,27.226760864257813
256,1,8,arithmetic,2,65536,1784288,1788098,27.22607421875,27.284210205078125
256,1,8,arithmetic,3,65536,1893362,1897136,28.890411376953125,28.947998046875
256,1,8,arithmetic,4,65536,1802474,1806293,27.503570556640625,27.561843872070313
256,1,8,arithmetic,5,65536,1739285,1743033,26.539382934570313,26.596572875976563
256,1,8,arithmetic,6,65536,1759392,1763245,26.84619140625,26.904983520507813
256,1,8,arithmetic,7,65536,1746841,1750951,26.654678344726563,26.717391967773438
256,1,8,reset,1,65536,2617604,2621108,39.94146728515625,39.99493408203125
256,1,8,reset,2,65536,2473159,2476622,37.73741149902344,37.790252685546875
256,1,8,reset,3,65536,2474299,2477954,37.75480651855469,37.810577392578125
