n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
4096,0,0,arithmetic,4,4096,829248,832706,202.453125,203.29736328125
4096,0,0,arithmetic,5,4096,831386,834713,202.97509765625,203.787353515625
4096,0,0,arithmetic,6,4096,830459,833863,202.748779296875,203.579833984375
4096,0,0,arithmetic,7,4096,823561,826961,201.064697265625,201.894775390625
4096,0,0,reset,1,4096,2730637,2733910,666.659423828125,667.45849609375
4096,0,0,reset,2,4096,2751457,2754916,671.742431640625,672.5869140625
4096,0,0,reset,3,4096,2684862,2688212,655.48388671875,656.3017578125
4096,0,0,reset,4,4096,2682896,2687145,655.00390625,656.041259765625
4096,0,0,reset,5,4096,2648413,2651683,646.585205078125,647.383544921875
4096,0,0,reset,6,4096,2660579,2663845,649.555419921875,650.352783203125
4096,0,0,reset,7,4096,2775740,2779022,677.6708984375,678.47216796875
4096,1,8,arithmetic,1,4096,754358,757446,184.16943359375,184.92333984375
4096,1,8,arithmetic,2,4096,815617,819021,199.125244140625,199.956298828125
4096,1,8,arithmetic,3,4096,834231,837591,203.669677734375,204.489990234375
4096,1,8,arithmetic,4,4096,819137,822382,199.984619140625,200.77685546875
4096,1,8,arithmetic,5,4096,805489,808865,196.652587890625,197.476806640625
4096,1,8,arithmetic,6,4096,797331,801971,194.660888671875,195.793701171875
4096,1,8,arithmetic,7,4096,815938,819906,199.20361328125,200.17236328125
4096,1,8,reset,1,4096,3024852,3028355,738.4892578125,739.344482421875
4096,1,8,reset,2,4096,3005582,3009424,733.78466796875,734.72265625
4096,1,8,reset,3,4096,2995818,2999630,731.40087890625,732.33154296875
4096,1,8,reset,4,4096,2946614,2949974,719.38818359375,720.20849609375
4096,1,8,reset,5,4096,2924861,2928382,714.077392578125,714.93701171875
4096,1,8,reset,6,4096,2995106,2998271,731.22705078125,731.999755859375
4096,1,8,reset,7,4096,2991570,2995093,730.36376953125,731.223876953125
4096,2,16,arithmetic,1,4096,749317,752569,182.938720703125,183.732666015625
4096,2,16,arithmetic,2,4096,762886,766467,186.25146484375,187.125732421875
4096,2,16,arithmetic,3,4096,759850,763018,185.51025390625,186.28369140625
4096,2,16,arithmetic,4,4096,765004,768088,186.7685546875,187.521484375
4096,2,16,arithmetic,5,4096,799075,802259,195.086669921875,195.864013671875
4096,2,16,arithmetic,6,4096,817008,820284,199.46484375,200.2646484375
4096,2,16,arithmetic,7,4096,815777,819025,199.164306640625,199.957275390625
4096,2,16,reset,1,4096,2996150,3000389,731.48193359375,732.516845703125
