n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
256,24,negate,pipeline,7,32768,459095,464142,14.010467529296875,14.16448974609375
256,24,negate,blocks,7,32768,479175,484172,14.623260498046875,14.7757568359375
256,24,negate,openblas-leaf,7,32768,807484,813017,24.6424560546875,24.811309814453125
256,24,negate,openblas-aligned,7,32768,446784,451851,13.634765625,13.789398193359375
256,24,negate,openblas,7,32768,805083,810174,24.569183349609375,24.72454833984375
256,24,negate,onemkl,7,32768,577323,582499,17.618499755859375,17.776458740234375
256,24,powers-two,current,1,32768,477540,482433,14.5733642578125,14.722686767578125
256,24,powers-two,pointers,1,32768,395435,400341,12.067718505859375,12.217437744140625
256,24,powers-two,pipeline,1,32768,476200,481003,14.532470703125,14.679046630859375
256,24,powers-two,blocks,1,32768,478264,483154,14.595458984375,14.74468994140625
256,24,powers-two,openblas-leaf,1,32768,784017,789041,23.926300048828125,24.079620361328125
256,24,powers-two,openblas-aligned,1,32768,469494,474405,14.32781982421875,14.477691650390625
256,24,powers-two,openblas,1,32768,805740,810626,24.5892333984375,24.73834228515625
256,24,powers-two,onemkl,1,32768,581896,586853,17.758056640625,17.909332275390625
256,24,powers-two,current,2,32768,500224,510087,15.265625,15.566619873046875
256,24,powers-two,pointers,2,32768,393655,398637,12.013397216796875,12.165435791015625
256,24,powers-two,pipeline,2,32768,491505,496755,14.999542236328125,15.159759521484375
256,24,powers-two,blocks,2,32768,470658,475739,14.36334228515625,14.518402099609375
256,24,powers-two,openblas-leaf,2,32768,797741,802949,24.345123291015625,24.504058837890625
256,24,powers-two,openblas-aligned,2,32768,483280,488524,14.74853515625,14.9085693359375
256,24,powers-two,openblas,2,32768,828206,833623,25.27484130859375,25.440155029296875
256,24,powers-two,onemkl,2,32768,620488,625700,18.935791015625,19.0948486328125
256,24,powers-two,current,3,32768,484814,489817,14.79534912109375,14.948028564453125
256,24,powers-two,pointers,3,32768,396267,401214,12.093109130859375,12.24407958984375
256,24,powers-two,pipeline,3,32768,487175,492138,14.867401123046875,15.01885986328125
256,24,powers-two,blocks,3,32768,483650,488645,14.75982666015625,14.912261962890625
256,24,powers-two,openblas-leaf,3,32768,800152,805174,24.418701171875,24.57196044921875
256,24,powers-two,openblas-aligned,3,32768,451999,456983,13.793914794921875,13.946014404296875
256,24,powers-two,openblas,3,32768,825089,830124,25.179718017578125,25.3333740234375
256,24,powers-two,onemkl,3,32768,594555,599508,18.144378662109375,18.2955322265625
256,24,powers-two,current,4,32768,484460,489533,14.7845458984375,14.939361572265625
256,24,powers-two,pointers,4,32768,393209,398094,11.999786376953125,12.14886474609375
256,24,powers-two,pipeline,4,32768,492261,497156,15.022613525390625,15.1719970703125
256,24,powers-two,blocks,4,32768,482979,487922,14.739349365234375,14.89019775390625
