elapsed_s,cpu_percent
1038.257,12.00
1039.267,11.99
1040.277,14.38
1041.278,11.81
1042.289,12.09
1043.295,13.77
1044.305,13.38
1045.315,12.80
1046.325,12.51
1047.326,13.73
1048.336,12.40
1049.346,12.49
1050.355,13.22
1051.359,12.34
1052.367,12.34
1053.377,14.33
1054.387,12.95
1055.394,12.80
1056.404,12.31
1057.414,15.16
1058.417,13.67
1059.427,12.87
1060.438,14.88
1061.448,13.07
1062.458,12.40
1063.467,12.59
1064.477,15.08
1065.487,12.45
1066.497,11.86
1067.507,15.63
1068.517,11.94
1069.527,12.07
1070.537,13.49
1071.543,13.84
1072.551,12.13
1073.555,13.94
1074.560,16.77
1075.561,14.44
1076.567,13.47
1077.574,15.32
1078.584,12.59
1079.587,12.25
1080.590,12.41
1081.598,14.68
1082.608,12.49
1083.618,12.30
1084.625,15.12
1085.627,11.99
1086.637,11.82
1087.647,16.32
1088.658,14.67
1089.668,11.81
1090.678,11.51
1091.688,13.78
1092.698,11.52
1093.708,11.89
1094.718,13.56
1095.728,11.69
1096.738,11.61
1097.743,17.15
1098.752,14.47
1099.752,11.62
1100.762,11.90
1101.773,15.15
1102.779,11.65
1103.784,12.74
1104.794,13.35
1105.804,13.34
1106.814,11.68
1107.825,11.72
1108.835,14.90
1109.845,11.97
1110.855,11.64
1111.859,14.50
1112.870,12.10
1113.880,12.50
1114.890,12.98
1115.900,12.78
1116.911,11.99
1117.921,12.24
1118.924,14.39
1119.934,12.19
1120.935,12.01
1121.936,13.96
1122.942,21.47
1123.947,12.46
1124.957,12.55
1125.967,13.59
1126.977,12.03
1127.988,13.07
1128.997,14.00
1130.007,12.20
1131.017,11.99
1132.027,13.66
1133.037,12.59
1134.048,13.93
1135.058,14.16
1136.060,15.25
1137.067,12.33
1138.070,11.82
1139.081,19.11
1140.090,12.41
1141.101,12.09
1142.111,13.17
1143.121,13.29
1144.122,12.40
1145.132,12.56
1146.143,15.52
1147.152,12.92
1148.162,11.75
1149.170,14.13
1150.174,12.36
1151.184,12.35
1152.193,12.00
1153.203,14.04
1154.213,12.43
1155.223,12.03
1156.233,14.10
1157.244,11.90
1158.249,12.33
1159.259,13.18
1160.270,13.08
1161.280,12.19
1162.280,12.30
1163.290,13.88
1164.297,13.37
1165.307,12.56
1166.310,14.50
1167.320,11.89
1168.330,11.83
1169.340,12.67
1170.350,14.37
1171.354,12.06
1172.354,12.01
1173.363,14.56
1174.373,12.06
1175.383,12.36
1176.393,13.31
1177.397,13.16
1178.401,12.18
1179.401,12.11
1180.412,14.19
1181.419,12.03
1182.429,12.19
1183.439,14.87
1184.449,12.20
1185.459,12.29
1186.470,13.10
1187.480,12.84
1188.490,12.45
1189.500,12.55
