elapsed_s,cpu_percent
1338.640,8.17
1339.641,7.12
1340.641,7.58
1341.641,8.99
1342.642,6.96
1343.642,6.59
1344.642,7.15
1345.643,7.32
1346.643,6.36
1347.644,7.36
1348.644,8.43
1349.644,9.61
1350.645,13.70
1351.645,14.60
1352.645,7.41
1353.646,7.96
1354.646,8.58
1355.646,6.60
1356.647,6.56
1357.647,9.44
1358.648,6.93
1359.648,6.57
1360.648,8.33
1361.649,8.64
1362.649,7.41
1363.649,6.88
1364.650,9.19
1365.650,6.92
1366.650,6.62
1367.651,9.69
1368.651,6.81
1369.651,7.16
1370.652,10.91
1371.652,7.93
1372.653,11.39
1373.653,6.37
1374.653,10.85
1375.654,6.42
1376.654,6.88
1377.654,8.57
1378.655,7.22
1379.655,6.52
1380.656,8.41
1381.656,6.62
1382.657,6.70
1383.657,7.99
1384.657,6.92
1385.658,7.16
1386.658,6.36
1387.658,8.32
1388.659,6.67
1389.659,6.65
1390.660,9.38
1391.660,6.56
1392.660,6.87
1393.661,9.22
1394.661,6.66
1395.662,6.54
1396.662,9.72
1397.662,7.17
1398.663,7.07
1399.663,7.25
1400.663,9.43
1401.664,7.97
1402.664,7.05
1403.665,9.03
1404.665,6.70
1405.665,6.51
1406.666,9.65
1407.666,7.77
1408.666,6.51
1409.667,8.73
1410.667,6.56
1411.668,6.45
1412.668,8.03
1413.668,7.65
1414.669,7.15
1415.669,7.25
1416.669,8.68
1417.670,7.15
1418.670,7.57
1419.671,9.69
1420.671,6.92
1421.671,7.65
1422.672,8.88
1423.672,7.12
1424.673,7.10
1425.673,8.35
1426.674,6.96
1427.674,7.47
1428.674,6.72
1429.675,9.14
1430.675,7.87
1431.675,6.51
1432.676,8.79
1433.676,6.71
1434.677,7.55
1435.677,8.12
1436.678,6.55
1437.678,6.75
1438.678,8.38
1439.679,6.71
1440.679,6.56
1441.679,7.45
1442.680,8.33
1443.680,6.93
1444.681,6.62
1445.681,8.53
1446.681,6.61
1447.682,6.63
1448.682,8.53
1449.682,6.76
1450.683,7.07
1451.683,8.18
1452.684,6.72
1453.684,6.87
1454.684,8.62
1455.685,7.33
1456.685,6.62
1457.685,7.22
1458.686,9.95
1459.686,6.81
1460.686,6.50
1461.687,10.20
1462.687,7.78
1463.688,7.02
1464.688,8.94
1465.688,6.82
1466.689,7.61
1467.689,9.83
1468.689,6.87
1469.690,6.72
1470.690,8.07
1471.690,7.62
1472.691,6.87
1473.691,6.65
1474.691,9.00
1475.692,7.62
1476.692,7.36
1477.692,9.64
1478.693,7.23
1479.693,7.48
1480.694,8.57
1481.694,8.57
1482.694,7.07
1483.695,8.83
1484.695,7.50
1485.695,7.20
1486.696,6.71
1487.696,8.58
1488.697,6.52
1489.697,6.66
1490.697,8.69
1491.698,6.65
1492.698,6.89
1493.699,8.61
1494.699,6.67
1495.699,6.51
1496.700,8.62
1497.700,6.62
1498.700,6.26
1499.701,7.70
1500.701,7.47
1501.702,6.41
1502.702,6.57
1503.702,8.43
1504.703,6.56
1505.703,6.44
1506.703,8.37
1507.704,6.42
1508.704,6.46
1509.704,8.58
1510.705,6.46
1511.705,6.41
1512.706,8.40
1513.706,6.96
1514.706,7.16
1515.707,8.04
1516.707,7.62
1517.707,6.61
1518.708,6.90
1519.708,8.13
1520.708,6.51
1521.709,6.87
1522.709,10.38
1523.709,7.28
1524.710,6.69
1525.710,8.16
1526.710,6.36
1527.711,11.05
1528.711,8.53
1529.712,6.81
1530.712,8.18
1531.712,7.66
1532.713,7.74
1533.713,6.55
1534.713,6.55
1535.714,8.18
1536.714,6.91
1537.714,7.24
1538.715,8.25
1539.715,6.96
1540.716,6.56
1541.716,8.07
1542.716,6.71
1543.717,6.61
1544.717,7.62
1545.717,6.86
1546.718,6.61
1547.718,6.45
1548.719,8.38
1549.719,6.46
1550.719,6.19
1551.720,8.46
1552.720,6.91
1553.721,6.40
1554.721,7.93
1555.721,6.40
1556.722,6.55
1557.722,9.35
1558.722,6.71
1559.723,6.66
1560.723,7.53
1561.724,8.49
1562.724,6.56
1563.724,6.44
1564.725,9.46
1565.725,6.87
1566.725,6.65
1567.726,9.49
1568.726,6.81
1569.726,6.71
1570.727,9.51
1571.727,6.52
1572.728,6.67
1573.728,9.14
1574.728,7.22
1575.729,6.66
1576.729,6.99
1577.729,8.02
1578.730,6.61
1579.730,7.01
1580.731,8.43
1581.731,6.41
1582.731,8.21
1583.732,10.37
1584.732,6.56
1585.732,6.41
1586.733,9.39
1587.733,7.17
1588.733,6.50
1589.734,8.42
1590.734,6.71
1591.734,6.31
1592.735,6.80
1593.735,8.57
1594.735,6.61
1595.736,6.44
1596.736,9.81
1597.737,6.76
1598.737,6.46
1599.738,9.19
1600.738,7.36
1601.739,6.89
1602.739,8.82
1603.740,6.72
1604.740,6.47
1605.741,8.53
1606.741,7.06
1607.741,6.60
1608.742,6.65
1609.742,9.13
1610.742,6.97
1611.743,6.77
1612.743,9.45
1613.743,6.91
1614.744,6.40
1615.744,8.67
1616.744,6.46
1617.745,6.70
1618.745,8.47
1619.745,6.61
1620.746,6.65
1621.746,7.91
1622.746,7.91
1623.747,6.41
1624.747,6.51
1625.747,8.74
1626.748,6.81
1627.748,6.55
1628.749,8.86
1629.749,6.56
1630.749,6.71
1631.750,8.92
1632.750,6.47
1633.750,7.10
1634.751,9.06
1635.751,6.57
1636.752,6.82
1637.752,7.33
1638.752,8.27
1639.753,7.10
1640.753,6.45
1641.754,8.88
1642.754,8.07
1643.755,7.71
1644.755,9.43
1645.755,7.10
1646.756,6.80
1647.756,9.97
1648.757,6.57
1649.757,6.57
1650.757,8.92
1651.758,6.61
1652.758,7.22
1653.759,7.09
1654.759,8.08
1655.759,6.70
1656.760,6.77
1657.760,9.45
1658.761,6.56
1659.761,6.78
1660.762,9.89
